vehicle_id,vehicle_type,vehicle_age_years,capacity_kg,fuel_type,maintenance_score,current_mileage_km
V001224,Van,1,1000,Petrol,100.0,194962.0
V001225,Heavy Truck,4,20000,Diesel,76.36,304130.0
V001226,Light Truck,7,3500,Diesel,69.06,247115.0
V001227,Light Truck,2,3500,Diesel,72.9,124701.0
V001228,Light Truck,1,3500,Diesel,73.07,149073.0
V001229,Van,2,1000,Petrol,90.32,214549.0
V001230,Light Truck,2,3500,Diesel,74.96,126669.0
V001231,Heavy Truck,6,20000,Diesel,97.5,238484.0
V001232,Van,3,1000,Petrol,77.73,400430.0
V001233,Medium Truck,5,8000,Diesel,70.86,1000.0
V001234,Medium Truck,1,8000,Diesel,57.69,159179.0
V001235,Heavy Truck,4,20000,Diesel,84.61,118362.0
V001236,Light Truck,1,3500,Diesel,72.72,168105.0
V001237,Medium Truck,11,8000,Diesel,82.01,217851.0
V001238,Medium Truck,1,8000,Diesel,82.47,89970.0
V001239,Van,9,1000,Petrol,94.85,79002.0
V001240,Medium Truck,6,8000,Diesel,100.0,245393.0
V001241,Light Truck,8,3500,Diesel,89.64,232149.0
V001242,Van,1,1000,Petrol,68.06,202404.0
V001243,Van,11,1000,Petrol,86.48,120161.0
V001244,Van,4,1000,Petrol,92.78,309742.0
V001245,Van,11,1000,Petrol,96.83,46935.0
V001246,Medium Truck,7,8000,Diesel,62.99,184246.0
V001247,Medium Truck,13,8000,Diesel,89.54,216046.0
V001248,Light Truck,12,3500,Diesel,73.56,94427.0
V001249,Light Truck,1,3500,Diesel,84.57,123612.0
V001250,Van,13,1000,Petrol,66.76,232364.0
V001251,Light Truck,3,3500,Diesel,81.77,224251.0
V001252,Van,2,1000,Petrol,74.48,306935.0
V001253,Light Truck,13,3500,Diesel,84.15,115229.0
V001254,Medium Truck,9,8000,Diesel,81.33,238702.0
V001255,Light Truck,3,3500,Diesel,90.32,279849.0
V001256,Light Truck,6,3500,Diesel,85.89,83163.0
V001257,Light Truck,14,3500,Diesel,78.75,95549.0
V001258,Light Truck,5,3500,Diesel,71.34,131104.0
V001259,Van,9,1000,Petrol,91.62,193928.0
V001260,Light Truck,2,3500,Diesel,75.01,264360.0
V001261,Medium Truck,12,8000,Diesel,80.83,141509.0
V001262,Light Truck,9,3500,Diesel,62.73,198472.0
V001263,Van,14,1000,Petrol,59.44,296689.0
V001264,Medium Truck,10,8000,Diesel,95.07,220254.0
V001265,Heavy Truck,0,20000,Diesel,88.38,194691.0
V001266,Light Truck,4,3500,Diesel,64.79,209813.0
V001267,Van,7,1000,Petrol,85.18,159817.0
V001268,Van,5,1000,Petrol,91.71,162157.0
V001269,Light Truck,13,3500,Diesel,92.75,225175.0
V001270,Medium Truck,11,8000,Diesel,78.74,111809.0
V001271,Light Truck,5,3500,Diesel,97.2,120312.0
V001272,Van,8,1000,Petrol,81.4,177892.0
V001273,Medium Truck,2,8000,Diesel,100.0,316001.0
V001274,Van,14,1000,Petrol,95.99,184909.0
V001275,Heavy Truck,6,20000,Diesel,84.36,159940.0
V001276,Medium Truck,9,8000,Diesel,79.69,212081.0
V001277,Medium Truck,2,8000,Diesel,73.88,181478.0
V001278,Heavy Truck,7,20000,Diesel,75.23,169469.0
V001279,Medium Truck,14,8000,Diesel,80.89,231484.0
V001280,Van,3,1000,Petrol,64.18,274753.0
V001281,Van,3,1000,Petrol,100.0,243487.0
V001282,Van,11,1000,Petrol,81.51,179347.0
V001283,Medium Truck,8,8000,Diesel,94.2,177921.0
V001284,Light Truck,14,3500,Diesel,87.07,65790.0
V001285,Van,7,1000,Petrol,93.08,152912.0
V001286,Medium Truck,6,8000,Diesel,92.08,292929.0
V001287,Heavy Truck,14,20000,Diesel,86.24,440424.0
V001288,Light Truck,3,3500,Diesel,67.16,1000.0
V001289,Medium Truck,7,8000,Diesel,77.77,167305.0
V001290,Medium Truck,0,8000,Diesel,73.12,126212.0
V001291,Van,14,1000,Petrol,84.83,174169.0
V001292,Heavy Truck,10,20000,Diesel,80.88,131711.0
V001293,Van,2,1000,Petrol,84.75,72533.0
V001294,Medium Truck,2,8000,Diesel,86.79,17122.0
V001295,Light Truck,0,3500,Diesel,78.88,171609.0
V001296,Van,8,1000,Petrol,82.37,329193.0
V001297,Light Truck,14,3500,Diesel,96.57,135457.0
V001298,Van,9,1000,Petrol,95.04,102022.0
V001299,Van,0,1000,Petrol,71.94,152056.0
V001300,Medium Truck,2,8000,Diesel,74.12,93602.0
V001301,Van,2,1000,Petrol,100.0,291034.0
V001302,Medium Truck,7,8000,Diesel,89.1,141614.0
V001303,Van,6,1000,Petrol,85.78,138535.0
V001304,Van,3,1000,Petrol,89.12,47465.0
V001305,Heavy Truck,2,20000,Diesel,89.7,56458.0
V001306,Medium Truck,0,8000,Diesel,80.84,234789.0
V001307,Medium Truck,14,8000,Diesel,66.82,234921.0
V001308,Light Truck,7,3500,Diesel,78.63,216718.0
V001309,Van,9,1000,Petrol,79.55,207362.0
V001310,Light Truck,1,3500,Diesel,84.7,109702.0
V001311,Motorbike,6,50,Petrol,87.44,93202.0
V001312,Light Truck,14,3500,Diesel,79.94,146464.0
V001313,Heavy Truck,1,20000,Diesel,87.17,285973.0
V001314,Medium Truck,6,8000,Diesel,86.21,267736.0
V001315,Light Truck,6,3500,Diesel,81.0,202944.0
V001316,Van,13,1000,Petrol,100.0,84395.0
V001317,Van,10,1000,Petrol,94.73,163033.0
V001318,Van,0,1000,Petrol,75.54,164596.0
V001319,Van,6,1000,Petrol,70.55,165096.0
V001320,Light Truck,11,3500,Diesel,90.23,97899.0
V001321,Heavy Truck,13,20000,Diesel,76.59,185608.0
V001322,Medium Truck,4,8000,Diesel,88.11,249108.0
V001323,Van,1,1000,Petrol,83.91,69874.0
V001324,Van,2,1000,Petrol,97.88,290378.0
V001325,Light Truck,6,3500,Diesel,74.69,172264.0
V001326,Van,14,1000,Petrol,84.52,236457.0
V001327,Medium Truck,2,8000,Diesel,74.18,183904.0
V001328,Motorbike,7,50,Petrol,91.07,111866.0
V001329,Light Truck,7,3500,Diesel,89.87,125844.0
V001330,Van,2,1000,Petrol,75.28,300115.0
V001331,Heavy Truck,5,20000,Diesel,83.83,152188.0
V001332,Medium Truck,9,8000,Diesel,92.92,209196.0
V001333,Van,0,1000,Petrol,70.28,24836.0
V001334,Van,11,1000,Petrol,94.87,185765.0
V001335,Heavy Truck,3,20000,Diesel,81.79,226882.0
V001336,Heavy Truck,5,20000,Diesel,56.49,184452.0
V001337,Medium Truck,13,8000,Diesel,92.8,1000.0
V001338,Light Truck,8,3500,Diesel,87.06,183628.0
V001339,Light Truck,7,3500,Diesel,94.33,162936.0
V001340,Van,8,1000,Petrol,81.11,343992.0
V001341,Heavy Truck,14,20000,Diesel,86.2,99127.0
V001342,Light Truck,0,3500,Diesel,68.98,166209.0
V001343,Light Truck,12,3500,Diesel,75.64,19296.0
V001344,Light Truck,3,3500,Diesel,71.64,307298.0
V001345,Heavy Truck,8,20000,Diesel,93.77,328267.0
V001346,Van,6,1000,Petrol,73.95,203015.0
V001347,Medium Truck,14,8000,Diesel,86.13,334037.0
V001348,Van,8,1000,Petrol,75.02,1000.0
V001349,Medium Truck,12,8000,Diesel,88.23,266663.0
V001350,Heavy Truck,12,20000,Diesel,76.7,287376.0
V001351,Medium Truck,10,8000,Diesel,94.39,158228.0
V001352,Van,0,1000,Petrol,81.05,311275.0
V001353,Medium Truck,12,8000,Diesel,75.49,13398.0
V001354,Light Truck,13,3500,Diesel,64.07,142978.0
V001355,Heavy Truck,6,20000,Diesel,82.48,1000.0
V001356,Medium Truck,3,8000,Diesel,66.92,244562.0
V001357,Light Truck,7,3500,Diesel,70.96,189927.0
V001358,Heavy Truck,2,20000,Diesel,66.35,156689.0
V001359,Heavy Truck,12,20000,Diesel,78.48,234836.0
V001360,Heavy Truck,7,20000,Diesel,94.68,178988.0
V001361,Van,11,1000,Petrol,85.27,130756.0
V001362,Medium Truck,3,8000,Diesel,96.35,176643.0
V001363,Light Truck,13,3500,Diesel,100.0,154687.0
V001364,Van,7,1000,Petrol,77.68,138151.0
V001365,Light Truck,4,3500,Diesel,64.24,143771.0
V001366,Van,13,1000,Petrol,92.03,205876.0
V001367,Motorbike,14,50,Petrol,83.7,209485.0
V001368,Light Truck,2,3500,Diesel,80.27,156786.0
V001369,Medium Truck,10,8000,Diesel,92.22,269302.0
V001370,Heavy Truck,9,20000,Diesel,77.86,193769.0
V001371,Medium Truck,3,8000,Diesel,89.64,239933.0
V001372,Medium Truck,1,8000,Diesel,78.42,221186.0
V001373,Medium Truck,4,8000,Diesel,84.9,278391.0
V001374,Heavy Truck,13,20000,Diesel,79.56,143929.0
V001375,Medium Truck,0,8000,Diesel,79.34,184910.0
V001376,Light Truck,12,3500,Diesel,76.37,96120.0
V001377,Light Truck,4,3500,Diesel,100.0,230730.0
V001378,Medium Truck,14,8000,Diesel,78.15,149083.0
V001379,Medium Truck,11,8000,Diesel,81.43,130692.0
V001380,Medium Truck,6,8000,Diesel,86.51,153444.0
V001381,Medium Truck,13,8000,Diesel,63.35,251312.0
V001382,Medium Truck,4,8000,Diesel,87.35,224449.0
V001383,Van,5,1000,Petrol,89.75,216150.0
V001384,Light Truck,0,3500,Diesel,85.24,245336.0
V001385,Light Truck,2,3500,Diesel,92.47,136401.0
V001386,Medium Truck,13,8000,Diesel,92.66,302620.0
V001387,Light Truck,9,3500,Diesel,88.34,302226.0
V001388,Light Truck,6,3500,Diesel,58.0,377394.0
V001389,Van,1,1000,Petrol,77.84,352406.0
V001390,Van,12,1000,Petrol,85.55,281362.0
V001391,Van,3,1000,Petrol,71.89,266468.0
V001392,Medium Truck,1,8000,Diesel,73.29,284681.0
V001393,Light Truck,13,3500,Diesel,89.43,89184.0
V001394,Light Truck,7,3500,Diesel,81.1,347729.0
V001395,Light Truck,13,3500,Diesel,71.76,275439.0
V001396,Light Truck,12,3500,Diesel,85.33,212211.0
V001397,Van,12,1000,Petrol,94.39,68481.0
V001398,Van,4,1000,Petrol,77.63,194200.0
V001399,Motorbike,3,50,Petrol,61.98,20138.0
V001400,Light Truck,8,3500,Diesel,93.71,131473.0
V001401,Van,14,1000,Petrol,84.95,335332.0
V001402,Medium Truck,0,8000,Diesel,83.86,148670.0
V001403,Medium Truck,10,8000,Diesel,58.81,266819.0
V001404,Light Truck,3,3500,Diesel,80.26,171095.0
V001405,Medium Truck,2,8000,Diesel,81.96,245120.0
V001406,Medium Truck,14,8000,Diesel,76.55,301986.0
V001407,Medium Truck,0,8000,Diesel,94.01,266579.0
V001408,Heavy Truck,6,20000,Diesel,75.81,178907.0
V001409,Heavy Truck,5,20000,Diesel,80.57,137714.0
V001410,Light Truck,1,3500,Diesel,73.83,217293.0
V001411,Heavy Truck,13,20000,Diesel,62.99,379944.0
V001412,Van,12,1000,Petrol,89.09,11803.0
V001413,Medium Truck,12,8000,Diesel,77.51,237053.0
V001414,Medium Truck,14,8000,Diesel,79.87,391986.0
V001415,Van,9,1000,Petrol,90.85,89218.0
V001416,Van,8,1000,Petrol,100.0,151324.0
V001417,Light Truck,14,3500,Diesel,99.54,267903.0
V001418,Van,10,1000,Petrol,97.23,217887.0
V001419,Light Truck,8,3500,Diesel,97.62,167617.0
V001420,Van,1,1000,Petrol,99.38,81123.0
V001421,Heavy Truck,11,20000,Diesel,96.33,146948.0
V001422,Heavy Truck,8,20000,Diesel,76.91,1000.0
V001423,Medium Truck,11,8000,Diesel,78.41,247281.0
V001424,Light Truck,7,3500,Diesel,92.98,11331.0
V001425,Light Truck,8,3500,Diesel,96.73,370004.0
V001426,Van,0,1000,Petrol,70.69,224727.0
V001427,Van,1,1000,Petrol,77.91,201158.0
V001428,Medium Truck,1,8000,Diesel,71.48,142627.0
V001429,Light Truck,4,3500,Diesel,87.51,178796.0
V001430,Van,4,1000,Petrol,75.47,281047.0
V001431,Van,13,1000,Petrol,89.86,7955.0
V001432,Van,7,1000,Petrol,86.54,219721.0
V001433,Light Truck,3,3500,Diesel,72.82,163866.0
V001434,Heavy Truck,7,20000,Diesel,90.43,244588.0
V001435,Light Truck,11,3500,Diesel,80.25,159941.0
V001436,Light Truck,0,3500,Diesel,81.18,225421.0
V001437,Light Truck,5,3500,Diesel,78.17,193469.0
V001438,Light Truck,5,3500,Diesel,97.2,139095.0
V001439,Van,0,1000,Petrol,93.11,184431.0
V001440,Medium Truck,3,8000,Diesel,55.76,311597.0
V001441,Van,3,1000,Petrol,65.42,256338.0
V001442,Heavy Truck,6,20000,Diesel,84.19,304013.0
V001443,Van,13,1000,Petrol,97.29,80867.0
V001444,Medium Truck,4,8000,Diesel,84.23,157261.0
V001445,Medium Truck,12,8000,Diesel,73.12,158137.0
V001446,Medium Truck,1,8000,Diesel,91.63,116802.0
V001447,Van,12,1000,Petrol,75.23,180312.0
V001448,Heavy Truck,10,20000,Diesel,75.37,100099.0
V001449,Light Truck,6,3500,Diesel,73.3,1000.0
V001450,Heavy Truck,0,20000,Diesel,95.86,145282.0
V001451,Van,1,1000,Petrol,52.74,220617.0
V001452,Heavy Truck,4,20000,Diesel,87.22,258755.0
V001453,Van,10,1000,Petrol,85.24,104883.0
V001454,Van,6,1000,Petrol,73.33,295472.0
V001455,Van,3,1000,Petrol,76.52,232155.0
V001456,Van,14,1000,Petrol,79.82,163077.0
V001457,Light Truck,13,3500,Diesel,83.32,141094.0
V001458,Van,6,1000,Petrol,100.0,349227.0
V001459,Heavy Truck,1,20000,Diesel,84.03,174835.0
V001460,Van,0,1000,Petrol,84.02,155737.0
V001461,Medium Truck,1,8000,Diesel,96.82,172700.0
V001462,Light Truck,7,3500,Diesel,98.9,129663.0
V001463,Van,14,1000,Petrol,88.48,172597.0
V001464,Light Truck,9,3500,Diesel,64.14,357728.0
V001465,Light Truck,0,3500,Diesel,71.69,162286.0
V001466,Van,10,1000,Petrol,100.0,134450.0
V001467,Van,2,1000,Petrol,75.32,203374.0
V001468,Van,0,1000,Petrol,72.18,250383.0
V001469,Van,14,1000,Petrol,92.37,211982.0
V001470,Medium Truck,10,8000,Diesel,74.2,105089.0
V001471,Van,9,1000,Petrol,94.28,99386.0
V001472,Heavy Truck,14,20000,Diesel,96.98,29450.0
V001473,Heavy Truck,12,20000,Diesel,82.8,216723.0
V001474,Van,10,1000,Petrol,76.72,131973.0
V001475,Heavy Truck,12,20000,Diesel,77.7,204661.0
V001476,Van,1,1000,Petrol,88.82,251246.0
V001477,Motorbike,2,50,Petrol,74.92,115525.0
V001478,Medium Truck,9,8000,Diesel,74.85,174450.0
V001479,Medium Truck,9,8000,Diesel,78.16,225103.0
V001480,Heavy Truck,3,20000,Diesel,76.47,48978.0
V001481,Van,12,1000,Petrol,66.1,121705.0
V001482,Van,5,1000,Petrol,88.66,355669.0
V001483,Medium Truck,9,8000,Diesel,100.0,32552.0
V001484,Light Truck,13,3500,Diesel,80.94,163339.0
V001485,Light Truck,10,3500,Diesel,75.37,182460.0
V001486,Medium Truck,12,8000,Diesel,69.7,254982.0
V001487,Light Truck,10,3500,Diesel,81.46,166159.0
V001488,Medium Truck,7,8000,Diesel,81.33,55277.0
V001489,Light Truck,2,3500,Diesel,97.69,244253.0
V001490,Heavy Truck,14,20000,Diesel,81.64,178323.0
V001491,Medium Truck,12,8000,Diesel,83.24,188628.0
V001492,Medium Truck,3,8000,Diesel,90.18,69853.0
V001493,Light Truck,12,3500,Diesel,84.03,187614.0
V001494,Light Truck,13,3500,Diesel,74.22,237343.0
V001495,Light Truck,0,3500,Diesel,78.32,278586.0
V001496,Medium Truck,9,8000,Diesel,85.07,124877.0
V001497,Medium Truck,5,8000,Diesel,63.32,63703.0
V001498,Light Truck,13,3500,Diesel,82.77,63847.0
V001499,Medium Truck,6,8000,Diesel,83.72,291511.0
V001500,Medium Truck,13,8000,Diesel,60.62,67702.0
V001501,Van,2,1000,Petrol,54.22,298256.0
V001502,Light Truck,9,3500,Diesel,88.09,212454.0
V001503,Light Truck,5,3500,Diesel,71.76,301663.0
V001504,Van,14,1000,Petrol,86.68,193565.0
V001505,Heavy Truck,12,20000,Diesel,80.6,132267.0
V001506,Medium Truck,1,8000,Diesel,69.96,201063.0
V001507,Light Truck,5,3500,Diesel,87.84,189161.0
V001508,Light Truck,4,3500,Diesel,100.0,92765.0
V001509,Light Truck,1,3500,Diesel,100.0,105927.0
V001510,Heavy Truck,11,20000,Diesel,58.06,213694.0
V001511,Van,10,1000,Petrol,79.62,322717.0
V001512,Heavy Truck,13,20000,Diesel,74.18,107467.0
V001513,Medium Truck,8,8000,Diesel,63.56,206852.0
V001514,Light Truck,9,3500,Diesel,82.32,22552.0
V001515,Motorbike,8,50,Petrol,87.95,117146.0
V001516,Medium Truck,10,8000,Diesel,84.67,189052.0
V001517,Medium Truck,8,8000,Diesel,81.03,222536.0
V001518,Heavy Truck,5,20000,Diesel,100.0,190203.0
V001519,Light Truck,0,3500,Diesel,58.74,80470.0
V001520,Van,8,1000,Petrol,58.94,151054.0
V001521,Medium Truck,5,8000,Diesel,96.48,209406.0
V001522,Van,10,1000,Petrol,84.62,172136.0
V001523,Medium Truck,9,8000,Diesel,72.21,359633.0
V001524,Light Truck,0,3500,Diesel,81.29,208618.0
V001525,Medium Truck,14,8000,Diesel,73.14,1000.0
V001526,Light Truck,0,3500,Diesel,82.03,170350.0
V001527,Light Truck,1,3500,Diesel,63.09,314174.0
V001528,Light Truck,2,3500,Diesel,93.56,239759.0
V001529,Heavy Truck,6,20000,Diesel,72.35,132407.0
V001530,Van,6,1000,Petrol,66.03,229012.0
V001531,Light Truck,8,3500,Diesel,62.29,140988.0
V001532,Medium Truck,6,8000,Diesel,66.98,239834.0
V001533,Medium Truck,4,8000,Diesel,89.64,201055.0
V001534,Medium Truck,1,8000,Diesel,82.18,175782.0
V001535,Van,2,1000,Petrol,61.21,74022.0
V001536,Light Truck,13,3500,Diesel,80.72,207908.0
V001537,Light Truck,5,3500,Diesel,77.17,188957.0
V001538,Van,8,1000,Petrol,67.91,51662.0
V001539,Light Truck,12,3500,Diesel,69.8,216874.0
V001540,Medium Truck,4,8000,Diesel,70.66,169359.0
V001541,Van,0,1000,Petrol,79.78,204331.0
V001542,Light Truck,10,3500,Diesel,84.91,353651.0
V001543,Light Truck,14,3500,Diesel,91.33,130560.0
V001544,Van,4,1000,Petrol,82.66,116542.0
V001545,Medium Truck,10,8000,Diesel,85.87,91086.0
V001546,Light Truck,6,3500,Diesel,78.78,263296.0
V001547,Van,4,1000,Petrol,71.44,53473.0
V001548,Van,3,1000,Petrol,65.77,211089.0
V001549,Heavy Truck,5,20000,Diesel,78.83,328819.0
V001550,Light Truck,0,3500,Diesel,87.27,118605.0
V001551,Medium Truck,0,8000,Diesel,80.75,172093.0
V001552,Light Truck,12,3500,Diesel,67.99,212850.0
V001553,Van,4,1000,Petrol,74.04,270884.0
V001554,Van,2,1000,Petrol,72.67,205689.0
V001555,Van,13,1000,Petrol,77.25,236638.0
V001556,Heavy Truck,4,20000,Diesel,93.82,172525.0
V001557,Motorbike,0,50,Petrol,86.16,265844.0
V001558,Medium Truck,6,8000,Diesel,92.68,221480.0
V001559,Heavy Truck,6,20000,Diesel,92.73,9912.0
V001560,Van,7,1000,Petrol,84.89,109403.0
V001561,Heavy Truck,2,20000,Diesel,89.55,83247.0
V001562,Heavy Truck,11,20000,Diesel,88.99,326604.0
V001563,Medium Truck,6,8000,Diesel,92.37,277278.0
V001564,Medium Truck,10,8000,Diesel,77.74,173131.0
V001565,Heavy Truck,10,20000,Diesel,90.43,277903.0
V001566,Heavy Truck,7,20000,Diesel,69.01,120833.0
V001567,Heavy Truck,8,20000,Diesel,100.0,148148.0
V001568,Medium Truck,13,8000,Diesel,83.94,108675.0
V001569,Medium Truck,0,8000,Diesel,67.98,149762.0
V001570,Light Truck,1,3500,Diesel,69.3,253238.0
V001571,Medium Truck,6,8000,Diesel,72.18,128270.0
V001572,Heavy Truck,0,20000,Diesel,83.77,231332.0
V001573,Van,11,1000,Petrol,91.07,35566.0
V001574,Light Truck,4,3500,Diesel,78.14,102504.0
V001575,Heavy Truck,14,20000,Diesel,92.32,119743.0
V001576,Light Truck,10,3500,Diesel,85.28,314425.0
V001577,Heavy Truck,4,20000,Diesel,75.81,173952.0
V001578,Light Truck,14,3500,Diesel,78.37,84320.0
V001579,Heavy Truck,12,20000,Diesel,68.37,355240.0
V001580,Motorbike,0,50,Petrol,77.94,126318.0
V001581,Motorbike,1,50,Petrol,100.0,189261.0
V001582,Medium Truck,3,8000,Diesel,91.15,138467.0
V001583,Medium Truck,12,8000,Diesel,57.49,246455.0
V001584,Van,7,1000,Petrol,77.06,216850.0
V001585,Light Truck,1,3500,Diesel,87.94,240421.0
V001586,Van,14,1000,Petrol,88.47,1000.0
V001587,Light Truck,11,3500,Diesel,49.47,127977.0
V001588,Medium Truck,0,8000,Diesel,73.97,213385.0
V001589,Medium Truck,13,8000,Diesel,91.01,67567.0
V001590,Light Truck,4,3500,Diesel,87.74,129296.0
V001591,Medium Truck,9,8000,Diesel,87.91,257873.0
V001592,Medium Truck,11,8000,Diesel,83.41,282719.0
V001593,Light Truck,0,3500,Diesel,77.05,20099.0
V001594,Medium Truck,10,8000,Diesel,93.84,190061.0
V001595,Medium Truck,9,8000,Diesel,76.03,204409.0
V001596,Van,8,1000,Petrol,79.09,174018.0
V001597,Heavy Truck,9,20000,Diesel,100.0,146586.0
V001598,Heavy Truck,0,20000,Diesel,78.55,169709.0
V001599,Light Truck,4,3500,Diesel,86.44,183223.0
V001600,Van,9,1000,Petrol,67.94,210063.0
V001601,Heavy Truck,7,20000,Diesel,94.67,123546.0
V001602,Light Truck,11,3500,Diesel,100.0,89471.0
V001603,Medium Truck,12,8000,Diesel,82.48,154595.0
V001604,Van,11,1000,Petrol,77.64,197842.0
V001605,Medium Truck,6,8000,Diesel,72.9,205653.0
V001606,Medium Truck,11,8000,Diesel,83.93,229429.0
V001607,Medium Truck,8,8000,Diesel,94.6,44380.0
V001608,Light Truck,3,3500,Diesel,100.0,259690.0
V001609,Van,8,1000,Petrol,85.91,182672.0
V001610,Heavy Truck,5,20000,Diesel,81.29,12777.0
V001611,Van,8,1000,Petrol,81.58,266024.0
V001612,Van,12,1000,Petrol,83.82,67552.0
V001613,Light Truck,5,3500,Diesel,100.0,243676.0
V001614,Heavy Truck,12,20000,Diesel,69.3,296029.0
V001615,Medium Truck,10,8000,Diesel,98.78,74903.0
V001616,Medium Truck,11,8000,Diesel,100.0,239316.0
V001617,Light Truck,5,3500,Diesel,74.63,159279.0
V001618,Light Truck,0,3500,Diesel,79.98,61047.0
V001619,Medium Truck,1,8000,Diesel,86.23,184879.0
V001620,Medium Truck,8,8000,Diesel,93.6,278729.0
V001621,Light Truck,9,3500,Diesel,87.24,175162.0
V001622,Van,10,1000,Petrol,94.18,242162.0
V001623,Light Truck,5,3500,Diesel,82.18,89569.0
V001624,Medium Truck,5,8000,Diesel,94.62,256895.0
V001625,Medium Truck,1,8000,Diesel,70.82,338384.0
V001626,Medium Truck,11,8000,Diesel,86.2,379789.0
V001627,Medium Truck,12,8000,Diesel,72.42,250090.0
V001628,Motorbike,11,50,Petrol,83.7,151870.0
V001629,Van,4,1000,Petrol,88.4,293499.0
V001630,Motorbike,7,50,Petrol,72.28,246255.0
V001631,Van,12,1000,Petrol,91.73,155611.0
V001632,Light Truck,1,3500,Diesel,91.32,108554.0
V001633,Medium Truck,8,8000,Diesel,90.71,177810.0
V001634,Medium Truck,5,8000,Diesel,72.9,155909.0
V001635,Medium Truck,1,8000,Diesel,81.01,106902.0
V001636,Medium Truck,4,8000,Diesel,76.26,261854.0
V001637,Light Truck,12,3500,Diesel,90.69,84634.0
V001638,Light Truck,14,3500,Diesel,81.54,188889.0
V001639,Medium Truck,5,8000,Diesel,100.0,238753.0
V001640,Light Truck,5,3500,Diesel,77.28,96860.0
V001641,Medium Truck,12,8000,Diesel,64.87,205015.0
V001642,Medium Truck,11,8000,Diesel,84.43,86341.0
V001643,Light Truck,2,3500,Diesel,91.71,71372.0
V001644,Medium Truck,5,8000,Diesel,65.94,318057.0
V001645,Heavy Truck,10,20000,Diesel,95.25,349541.0
V001646,Medium Truck,6,8000,Diesel,72.4,101642.0
V001647,Medium Truck,7,8000,Diesel,100.0,61451.0
V001648,Van,9,1000,Petrol,83.13,129920.0
V001649,Van,9,1000,Petrol,83.41,251768.0
V001650,Motorbike,9,50,Petrol,80.54,262323.0
V001651,Van,0,1000,Petrol,93.48,199091.0
V001652,Motorbike,5,50,Petrol,97.81,187328.0
V001653,Medium Truck,14,8000,Diesel,84.53,7024.0
V001654,Heavy Truck,0,20000,Diesel,100.0,193041.0
V001655,Motorbike,14,50,Petrol,91.19,387593.0
V001656,Light Truck,13,3500,Diesel,60.91,1000.0
V001657,Heavy Truck,8,20000,Diesel,84.7,186741.0
V001658,Light Truck,3,3500,Diesel,77.28,149001.0
V001659,Medium Truck,8,8000,Diesel,75.81,168489.0
V001660,Van,3,1000,Petrol,100.0,217073.0
V001661,Van,8,1000,Petrol,96.65,345927.0
V001662,Van,6,1000,Petrol,76.69,85348.0
V001663,Light Truck,7,3500,Diesel,76.07,78816.0
V001664,Van,6,1000,Petrol,93.98,145257.0
V001665,Light Truck,4,3500,Diesel,66.85,135422.0
V001666,Medium Truck,4,8000,Diesel,66.14,232101.0
V001667,Light Truck,12,3500,Diesel,79.85,357417.0
V001668,Medium Truck,0,8000,Diesel,87.37,80691.0
V001669,Heavy Truck,3,20000,Diesel,78.36,239518.0
V001670,Light Truck,14,3500,Diesel,74.45,116980.0
V001671,Light Truck,13,3500,Diesel,62.48,160639.0
V001672,Van,12,1000,Petrol,62.89,225545.0
V001673,Light Truck,6,3500,Diesel,61.03,37846.0
V001674,Medium Truck,0,8000,Diesel,70.26,220756.0
V001675,Light Truck,3,3500,Diesel,100.0,194586.0
V001676,Heavy Truck,10,20000,Diesel,76.12,423421.0
V001677,Light Truck,4,3500,Diesel,82.7,212578.0
V001678,Van,11,1000,Petrol,61.24,64028.0
V001679,Light Truck,10,3500,Diesel,81.41,65836.0
V001680,Heavy Truck,0,20000,Diesel,73.15,317733.0
V001681,Medium Truck,10,8000,Diesel,87.38,249953.0
V001682,Light Truck,11,3500,Diesel,81.96,157562.0
V001683,Light Truck,5,3500,Diesel,92.17,44959.0
V001684,Heavy Truck,0,20000,Diesel,98.44,317976.0
V001685,Medium Truck,2,8000,Diesel,81.18,160419.0
V001686,Van,1,1000,Petrol,86.82,89956.0
V001687,Van,6,1000,Petrol,62.81,1000.0
V001688,Medium Truck,7,8000,Diesel,77.58,151816.0
V001689,Medium Truck,4,8000,Diesel,75.15,117721.0
V001690,Light Truck,1,3500,Diesel,81.4,138504.0
V001691,Heavy Truck,10,20000,Diesel,78.38,111710.0
V001692,Medium Truck,8,8000,Diesel,77.27,215539.0
V001693,Light Truck,12,3500,Diesel,88.94,159694.0
V001694,Light Truck,8,3500,Diesel,81.64,245086.0
V001695,Medium Truck,11,8000,Diesel,71.38,185342.0
V001696,Van,5,1000,Petrol,67.96,57271.0
V001697,Van,1,1000,Petrol,91.32,339664.0
V001698,Light Truck,4,3500,Diesel,92.29,187318.0
V001699,Medium Truck,6,8000,Diesel,68.92,132831.0
V001700,Van,4,1000,Petrol,88.42,195834.0
V001701,Medium Truck,1,8000,Diesel,91.58,204744.0
V001702,Heavy Truck,11,20000,Diesel,100.0,171830.0
V001703,Heavy Truck,1,20000,Diesel,98.19,199125.0
V001704,Medium Truck,4,8000,Diesel,82.59,245292.0
V001705,Light Truck,3,3500,Diesel,97.35,141675.0
V001706,Van,3,1000,Petrol,71.71,302746.0
V001707,Medium Truck,7,8000,Diesel,98.1,101162.0
V001708,Light Truck,11,3500,Diesel,93.84,221265.0
