,vehicle_id,vehicle_type,vehicle_age_years,capacity_kg,fuel_type,maintenance_score,current_mileage_km
3216,V003217,Heavy Truck,7,20000,Diesel,77.08,87928.0
3217,V003218,Light Truck,3,3500,Diesel,100.0,150545.0
3218,V003219,Light Truck,13,3500,Diesel,99.64,215714.0
3219,V003220,Light Truck,13,3500,Diesel,86.46,223529.0
3220,V003221,Light Truck,14,3500,Diesel,70.44,188808.0
3221,V003222,Light Truck,4,3500,Diesel,74.33,329102.0
3222,V003223,Medium Truck,3,8000,Diesel,68.59,107859.0
3223,V003224,Light Truck,4,3500,Diesel,89.9,29221.0
3224,V003225,Light Truck,14,3500,Diesel,87.75,67756.0
3225,V003226,Van,1,1000,Petrol,81.3,199467.0
3226,V003227,Medium Truck,10,8000,Diesel,86.55,259185.0
3227,V003228,Heavy Truck,11,20000,Diesel,100.0,1000.0
3228,V003229,Van,1,1000,Petrol,77.45,83057.0
3229,V003230,Light Truck,10,3500,Diesel,91.61,305214.0
3230,V003231,Light Truck,2,3500,Diesel,68.55,167986.0
3231,V003232,Van,8,1000,Petrol,69.6,280308.0
3232,V003233,Van,14,1000,Petrol,92.47,169508.0
3233,V003234,Medium Truck,2,8000,Diesel,78.31,297544.0
3234,V003235,Van,14,1000,Petrol,66.04,292925.0
3235,V003236,Van,9,1000,Petrol,79.01,207815.0
3236,V003237,Heavy Truck,3,20000,Diesel,78.74,224787.0
3237,V003238,Heavy Truck,2,20000,Diesel,77.21,113928.0
3238,V003239,Medium Truck,9,8000,Diesel,81.01,127062.0
3239,V003240,Van,8,1000,Petrol,81.66,99639.0
3240,V003241,Light Truck,11,3500,Diesel,81.02,39593.0
3241,V003242,Medium Truck,9,8000,Diesel,83.58,190580.0
3242,V003243,Light Truck,7,3500,Diesel,92.29,162479.0
3243,V003244,Van,2,1000,Petrol,75.24,169271.0
3244,V003245,Light Truck,3,3500,Diesel,79.51,414145.0
3245,V003246,Medium Truck,10,8000,Diesel,66.19,53730.0
3246,V003247,Heavy Truck,11,20000,Diesel,72.12,163089.0
3247,V003248,Van,14,1000,Petrol,77.62,304963.0
3248,V003249,Light Truck,11,3500,Diesel,90.02,167053.0
3249,V003250,Motorbike,12,50,Petrol,67.98,261104.0
3250,V003251,Van,2,1000,Petrol,72.55,199669.0
3251,V003252,Heavy Truck,6,20000,Diesel,92.33,149533.0
3252,V003253,Van,8,1000,Petrol,76.04,200027.0
3253,V003254,Van,4,1000,Petrol,90.22,126666.0
3254,V003255,Van,1,1000,Petrol,70.2,226190.0
3255,V003256,Medium Truck,3,8000,Diesel,84.34,230045.0
3256,V003257,Medium Truck,4,8000,Diesel,85.58,132853.0
3257,V003258,Light Truck,13,3500,Diesel,80.13,220343.0
3258,V003259,Light Truck,3,3500,Diesel,81.66,302099.0
3259,V003260,Medium Truck,10,8000,Diesel,76.27,181938.0
3260,V003261,Van,7,1000,Petrol,83.46,220141.0
3261,V003262,Van,12,1000,Petrol,94.15,302010.0
3262,V003263,Van,10,1000,Petrol,78.6,229741.0
3263,V003264,Medium Truck,13,8000,Diesel,85.57,123944.0
3264,V003265,Van,2,1000,Petrol,84.48,1000.0
3265,V003266,Medium Truck,13,8000,Diesel,81.12,321461.0
3266,V003267,Light Truck,11,3500,Diesel,88.29,369150.0
3267,V003268,Light Truck,9,3500,Diesel,75.42,259437.0
3268,V003269,Van,5,1000,Petrol,77.7,286376.0
3269,V003270,Heavy Truck,10,20000,Diesel,75.96,286651.0
3270,V003271,Medium Truck,11,8000,Diesel,89.81,273338.0
3271,V003272,Heavy Truck,10,20000,Diesel,89.13,114817.0
3272,V003273,Heavy Truck,4,20000,Diesel,81.86,160383.0
3273,V003274,Light Truck,12,3500,Diesel,73.15,143291.0
3274,V003275,Heavy Truck,8,20000,Diesel,83.68,200985.0
3275,V003276,Light Truck,0,3500,Diesel,87.05,265725.0
3276,V003277,Heavy Truck,8,20000,Diesel,84.42,58716.0
3277,V003278,Light Truck,0,3500,Diesel,77.15,145248.0
3278,V003279,Medium Truck,6,8000,Diesel,71.55,256523.0
3279,V003280,Heavy Truck,5,20000,Diesel,73.74,186690.0
3280,V003281,Van,14,1000,Petrol,76.47,217896.0
3281,V003282,Light Truck,0,3500,Diesel,85.79,152912.0
3282,V003283,Van,5,1000,Petrol,66.4,365371.0
3283,V003284,Van,13,1000,Petrol,100.0,132479.0
3284,V003285,Van,0,1000,Petrol,66.79,150571.0
3285,V003286,Heavy Truck,11,20000,Diesel,88.91,260166.0
3286,V003287,Light Truck,3,3500,Diesel,75.23,95061.0
3287,V003288,Van,0,1000,Petrol,82.47,114560.0
3288,V003289,Light Truck,12,3500,Diesel,90.38,180526.0
3289,V003290,Medium Truck,5,8000,Diesel,96.07,93601.0
3290,V003291,Medium Truck,9,8000,Diesel,80.93,62591.0
3291,V003292,Van,7,1000,Petrol,55.58,119751.0
3292,V003293,Van,9,1000,Petrol,90.38,189775.0
3293,V003294,Light Truck,14,3500,Diesel,80.86,167535.0
3294,V003295,Light Truck,0,3500,Diesel,92.78,240138.0
3295,V003296,Van,7,1000,Petrol,97.82,202210.0
3296,V003297,Light Truck,5,3500,Diesel,86.68,202097.0
3297,V003298,Light Truck,0,3500,Diesel,100.0,5581.0
3298,V003299,Medium Truck,6,8000,Diesel,91.94,297485.0
3299,V003300,Medium Truck,9,8000,Diesel,84.18,118592.0
3300,V003301,Light Truck,5,3500,Diesel,80.89,128916.0
3301,V003302,Light Truck,11,3500,Diesel,100.0,319997.0
3302,V003303,Medium Truck,9,8000,Diesel,87.74,37365.0
3303,V003304,Light Truck,1,3500,Diesel,83.22,233969.0
3304,V003305,Light Truck,11,3500,Diesel,91.93,315212.0
3305,V003306,Van,5,1000,Petrol,100.0,103680.0
3306,V003307,Van,0,1000,Petrol,76.58,169768.0
3307,V003308,Light Truck,0,3500,Diesel,76.98,186948.0
3308,V003309,Van,9,1000,Petrol,98.79,146731.0
3309,V003310,Medium Truck,0,8000,Diesel,76.97,285950.0
3310,V003311,Light Truck,8,3500,Diesel,98.38,1000.0
3311,V003312,Van,10,1000,Petrol,72.64,259062.0
3312,V003313,Motorbike,13,50,Petrol,100.0,76424.0
3313,V003314,Light Truck,6,3500,Diesel,96.52,199766.0
3314,V003315,Medium Truck,7,8000,Diesel,93.1,148901.0
3315,V003316,Van,0,1000,Petrol,97.23,169832.0
3316,V003317,Van,1,1000,Petrol,64.74,251350.0
3317,V003318,Medium Truck,0,8000,Diesel,97.47,137566.0
3318,V003319,Van,11,1000,Petrol,78.23,214820.0
3319,V003320,Light Truck,14,3500,Diesel,93.93,226309.0
3320,V003321,Motorbike,4,50,Petrol,100.0,108734.0
3321,V003322,Heavy Truck,10,20000,Diesel,64.7,50665.0
3322,V003323,Light Truck,10,3500,Diesel,72.15,140348.0
3323,V003324,Medium Truck,5,8000,Diesel,94.36,334266.0
3324,V003325,Light Truck,3,3500,Diesel,85.12,109581.0
3325,V003326,Van,0,1000,Petrol,81.5,197241.0
3326,V003327,Motorbike,11,50,Petrol,100.0,36793.0
3327,V003328,Heavy Truck,1,20000,Diesel,86.18,236874.0
3328,V003329,Light Truck,8,3500,Diesel,100.0,204508.0
3329,V003330,Medium Truck,6,8000,Diesel,100.0,150440.0
3330,V003331,Medium Truck,2,8000,Diesel,66.98,315813.0
3331,V003332,Medium Truck,1,8000,Diesel,59.58,189931.0
3332,V003333,Heavy Truck,0,20000,Diesel,82.41,58154.0
3333,V003334,Light Truck,0,3500,Diesel,63.54,1000.0
3334,V003335,Light Truck,14,3500,Diesel,77.31,345081.0
3335,V003336,Medium Truck,11,8000,Diesel,84.85,212234.0
3336,V003337,Van,1,1000,Petrol,92.5,55295.0
3337,V003338,Medium Truck,0,8000,Diesel,100.0,385352.0
3338,V003339,Light Truck,14,3500,Diesel,88.62,311058.0
3339,V003340,Light Truck,1,3500,Diesel,80.92,235529.0
3340,V003341,Motorbike,9,50,Petrol,81.26,268717.0
3341,V003342,Heavy Truck,12,20000,Diesel,88.57,125215.0
3342,V003343,Heavy Truck,0,20000,Diesel,70.31,61109.0
3343,V003344,Heavy Truck,6,20000,Diesel,100.0,207364.0
3344,V003345,Light Truck,11,3500,Diesel,73.52,120169.0
3345,V003346,Light Truck,6,3500,Diesel,79.24,230623.0
3346,V003347,Light Truck,1,3500,Diesel,74.39,175944.0
3347,V003348,Van,4,1000,Petrol,76.58,183901.0
3348,V003349,Heavy Truck,11,20000,Diesel,88.89,96672.0
3349,V003350,Medium Truck,0,8000,Diesel,64.52,23469.0
3350,V003351,Medium Truck,4,8000,Diesel,97.35,240726.0
3351,V003352,Medium Truck,10,8000,Diesel,87.49,181491.0
3352,V003353,Heavy Truck,10,20000,Diesel,79.81,142172.0
3353,V003354,Light Truck,10,3500,Diesel,73.53,154247.0
3354,V003355,Van,4,1000,Petrol,84.06,103534.0
3355,V003356,Motorbike,0,50,Petrol,77.51,241752.0
3356,V003357,Light Truck,6,3500,Diesel,61.63,29778.0
3357,V003358,Medium Truck,6,8000,Diesel,96.72,75525.0
3358,V003359,Light Truck,12,3500,Diesel,78.87,123990.0
3359,V003360,Light Truck,11,3500,Diesel,85.88,80532.0
3360,V003361,Medium Truck,6,8000,Diesel,63.75,136859.0
3361,V003362,Light Truck,3,3500,Diesel,87.88,268809.0
3362,V003363,Light Truck,2,3500,Diesel,91.91,160231.0
3363,V003364,Van,2,1000,Petrol,98.67,114830.0
3364,V003365,Van,9,1000,Petrol,72.68,160137.0
3365,V003366,Light Truck,6,3500,Diesel,81.16,216589.0
3366,V003367,Van,3,1000,Petrol,81.35,81260.0
3367,V003368,Light Truck,4,3500,Diesel,100.0,163913.0
3368,V003369,Light Truck,8,3500,Diesel,93.38,294463.0
3369,V003370,Van,4,1000,Petrol,85.73,1000.0
3370,V003371,Light Truck,6,3500,Diesel,60.79,269756.0
3371,V003372,Medium Truck,10,8000,Diesel,94.26,218418.0
3372,V003373,Van,8,1000,Petrol,90.25,1000.0
3373,V003374,Light Truck,0,3500,Diesel,56.64,217353.0
3374,V003375,Motorbike,12,50,Petrol,72.73,167438.0
3375,V003376,Medium Truck,12,8000,Diesel,95.85,215764.0
3376,V003377,Light Truck,12,3500,Diesel,100.0,34436.0
3377,V003378,Van,8,1000,Petrol,89.26,130387.0
3378,V003379,Heavy Truck,9,20000,Diesel,72.8,192921.0
3379,V003380,Van,13,1000,Petrol,95.2,1000.0
3380,V003381,Heavy Truck,1,20000,Diesel,77.88,276164.0
3381,V003382,Van,9,1000,Petrol,97.99,186444.0
3382,V003383,Light Truck,13,3500,Diesel,75.77,131692.0
3383,V003384,Light Truck,9,3500,Diesel,100.0,21363.0
3384,V003385,Van,10,1000,Petrol,62.96,203302.0
3385,V003386,Light Truck,7,3500,Diesel,83.42,251699.0
3386,V003387,Van,5,1000,Petrol,87.76,94232.0
3387,V003388,Van,11,1000,Petrol,91.21,1000.0
3388,V003389,Medium Truck,11,8000,Diesel,81.7,232205.0
3389,V003390,Light Truck,10,3500,Diesel,78.65,368956.0
3390,V003391,Light Truck,12,3500,Diesel,72.66,155780.0
3391,V003392,Light Truck,2,3500,Diesel,96.44,251742.0
3392,V003393,Heavy Truck,7,20000,Diesel,91.48,144979.0
3393,V003394,Van,7,1000,Petrol,73.0,357775.0
3394,V003395,Van,6,1000,Petrol,88.94,409966.0
3395,V003396,Van,0,1000,Petrol,76.35,155052.0
3396,V003397,Light Truck,7,3500,Diesel,80.73,99321.0
3397,V003398,Light Truck,4,3500,Diesel,72.87,197034.0
3398,V003399,Heavy Truck,7,20000,Diesel,81.74,247762.0
3399,V003400,Van,3,1000,Petrol,76.92,238144.0
3400,V003401,Medium Truck,2,8000,Diesel,79.94,69089.0
3401,V003402,Van,13,1000,Petrol,100.0,400788.0
3402,V003403,Van,9,1000,Petrol,65.64,1000.0
3403,V003404,Light Truck,12,3500,Diesel,80.24,289864.0
3404,V003405,Van,2,1000,Petrol,78.69,1000.0
3405,V003406,Van,6,1000,Petrol,76.24,195577.0
3406,V003407,Light Truck,3,3500,Diesel,82.67,22797.0
3407,V003408,Van,6,1000,Petrol,92.22,288983.0
3408,V003409,Medium Truck,4,8000,Diesel,84.2,158400.0
3409,V003410,Van,13,1000,Petrol,60.28,172272.0
3410,V003411,Motorbike,3,50,Petrol,100.0,330081.0
3411,V003412,Van,2,1000,Petrol,73.24,129914.0
3412,V003413,Light Truck,1,3500,Diesel,90.29,176424.0
3413,V003414,Motorbike,3,50,Petrol,95.62,407811.0
3414,V003415,Van,7,1000,Petrol,78.18,100679.0
3415,V003416,Van,9,1000,Petrol,89.56,143036.0
3416,V003417,Medium Truck,13,8000,Diesel,85.11,81402.0
3417,V003418,Medium Truck,14,8000,Diesel,99.17,89627.0
3418,V003419,Light Truck,8,3500,Diesel,85.39,252794.0
3419,V003420,Van,10,1000,Petrol,96.81,246072.0
3420,V003421,Medium Truck,13,8000,Diesel,90.41,219362.0
3421,V003422,Medium Truck,6,8000,Diesel,84.39,233001.0
3422,V003423,Medium Truck,2,8000,Diesel,40.93,299116.0
3423,V003424,Light Truck,0,3500,Diesel,94.56,167240.0
3424,V003425,Medium Truck,4,8000,Diesel,96.22,35593.0
3425,V003426,Light Truck,8,3500,Diesel,73.38,230679.0
3426,V003427,Van,14,1000,Petrol,93.38,43394.0
3427,V003428,Van,13,1000,Petrol,96.08,210614.0
3428,V003429,Light Truck,0,3500,Diesel,93.08,263432.0
3429,V003430,Light Truck,7,3500,Diesel,80.29,58994.0
3430,V003431,Van,7,1000,Petrol,69.36,279763.0
3431,V003432,Light Truck,6,3500,Diesel,63.22,80209.0
3432,V003433,Medium Truck,10,8000,Diesel,58.21,151792.0
3433,V003434,Heavy Truck,5,20000,Diesel,92.33,116849.0
3434,V003435,Light Truck,12,3500,Diesel,86.06,30369.0
3435,V003436,Light Truck,13,3500,Diesel,72.59,176490.0
3436,V003437,Van,13,1000,Petrol,72.26,133948.0
3437,V003438,Heavy Truck,1,20000,Diesel,91.87,161228.0
3438,V003439,Light Truck,9,3500,Diesel,79.87,157257.0
3439,V003440,Van,9,1000,Petrol,64.61,62652.0
3440,V003441,Medium Truck,11,8000,Diesel,78.92,50542.0
3441,V003442,Heavy Truck,14,20000,Diesel,96.72,176160.0
3442,V003443,Motorbike,0,50,Petrol,88.51,213595.0
3443,V003444,Van,0,1000,Petrol,83.16,337292.0
3444,V003445,Van,13,1000,Petrol,93.58,279507.0
3445,V003446,Van,14,1000,Petrol,72.66,217134.0
3446,V003447,Heavy Truck,14,20000,Diesel,76.88,157722.0
3447,V003448,Van,12,1000,Petrol,75.33,316117.0
3448,V003449,Medium Truck,14,8000,Diesel,60.85,125218.0
3449,V003450,Light Truck,10,3500,Diesel,55.93,224956.0
3450,V003451,Light Truck,9,3500,Diesel,78.08,52297.0
3451,V003452,Van,6,1000,Petrol,79.9,95025.0
3452,V003453,Light Truck,5,3500,Diesel,100.0,97504.0
3453,V003454,Medium Truck,12,8000,Diesel,93.4,153347.0
3454,V003455,Medium Truck,14,8000,Diesel,100.0,109320.0
3455,V003456,Light Truck,1,3500,Diesel,83.16,208102.0
3456,V003457,Light Truck,7,3500,Diesel,92.91,400791.0
3457,V003458,Light Truck,2,3500,Diesel,76.95,274842.0
3458,V003459,Van,2,1000,Petrol,87.93,144518.0
3459,V003460,Light Truck,7,3500,Diesel,78.89,186075.0
3460,V003461,Van,6,1000,Petrol,93.35,233372.0
3461,V003462,Light Truck,10,3500,Diesel,72.7,221984.0
3462,V003463,Van,10,1000,Petrol,89.34,147085.0
3463,V003464,Heavy Truck,3,20000,Diesel,75.96,163610.0
3464,V003465,Light Truck,3,3500,Diesel,96.29,300724.0
3465,V003466,Medium Truck,0,8000,Diesel,89.26,212664.0
3466,V003467,Light Truck,14,3500,Diesel,65.03,232190.0
3467,V003468,Van,11,1000,Petrol,87.08,328469.0
3468,V003469,Medium Truck,0,8000,Diesel,73.99,146774.0
3469,V003470,Van,14,1000,Petrol,72.71,43841.0
3470,V003471,Light Truck,2,3500,Diesel,69.69,245200.0
3471,V003472,Light Truck,9,3500,Diesel,78.65,169682.0
3472,V003473,Heavy Truck,8,20000,Diesel,78.13,156636.0
3473,V003474,Motorbike,9,50,Petrol,83.71,86123.0
3474,V003475,Light Truck,10,3500,Diesel,92.75,164381.0
3475,V003476,Light Truck,2,3500,Diesel,80.0,203586.0
3476,V003477,Medium Truck,10,8000,Diesel,95.69,80208.0
3477,V003478,Medium Truck,1,8000,Diesel,100.0,90931.0
3478,V003479,Light Truck,2,3500,Diesel,93.24,168200.0
3479,V003480,Light Truck,12,3500,Diesel,88.87,260412.0
3480,V003481,Medium Truck,3,8000,Diesel,80.9,62530.0
3481,V003482,Van,13,1000,Petrol,63.34,143197.0
3482,V003483,Heavy Truck,14,20000,Diesel,88.35,78663.0
3483,V003484,Motorbike,14,50,Petrol,82.87,106873.0
3484,V003485,Heavy Truck,1,20000,Diesel,87.24,105981.0
3485,V003486,Medium Truck,6,8000,Diesel,69.77,86729.0
3486,V003487,Van,4,1000,Petrol,73.43,91555.0
3487,V003488,Light Truck,3,3500,Diesel,82.99,158545.0
3488,V003489,Light Truck,7,3500,Diesel,97.99,73563.0
3489,V003490,Medium Truck,8,8000,Diesel,75.66,390730.0
3490,V003491,Light Truck,8,3500,Diesel,76.88,135502.0
3491,V003492,Light Truck,5,3500,Diesel,69.42,191618.0
3492,V003493,Light Truck,12,3500,Diesel,91.13,122211.0
3493,V003494,Van,4,1000,Petrol,98.31,251303.0
3494,V003495,Van,5,1000,Petrol,90.71,288073.0
3495,V003496,Medium Truck,12,8000,Diesel,80.01,188631.0
3496,V003497,Medium Truck,12,8000,Diesel,58.55,167897.0
3497,V003498,Heavy Truck,14,20000,Diesel,81.23,184235.0
3498,V003499,Van,10,1000,Petrol,95.06,302333.0
3499,V003500,Van,11,1000,Petrol,79.13,69742.0
3500,V003501,Light Truck,10,3500,Diesel,63.26,212153.0
3501,V003502,Van,12,1000,Petrol,70.78,235120.0
3502,V003503,Motorbike,1,50,Petrol,89.1,1000.0
3503,V003504,Van,14,1000,Petrol,89.4,214379.0
3504,V003505,Medium Truck,6,8000,Diesel,79.09,177286.0
3505,V003506,Van,13,1000,Petrol,97.3,181300.0
3506,V003507,Van,9,1000,Petrol,69.9,223664.0
3507,V003508,Light Truck,11,3500,Diesel,83.39,150149.0
3508,V003509,Van,8,1000,Petrol,100.0,281388.0
3509,V003510,Heavy Truck,0,20000,Diesel,60.95,93084.0
3510,V003511,Van,14,1000,Petrol,79.69,185833.0
3511,V003512,Van,8,1000,Petrol,74.85,77588.0
3512,V003513,Light Truck,3,3500,Diesel,92.61,155319.0
3513,V003514,Van,0,1000,Petrol,100.0,121527.0
3514,V003515,Medium Truck,7,8000,Diesel,75.0,156726.0
3515,V003516,Van,9,1000,Petrol,88.64,128483.0
3516,V003517,Heavy Truck,14,20000,Diesel,82.27,253531.0
3517,V003518,Medium Truck,12,8000,Diesel,73.99,158925.0
3518,V003519,Medium Truck,2,8000,Diesel,84.85,230178.0
3519,V003520,Heavy Truck,4,20000,Diesel,81.18,383049.0
3520,V003521,Van,2,1000,Petrol,85.7,171555.0
3521,V003522,Medium Truck,3,8000,Diesel,74.55,195038.0
3522,V003523,Van,11,1000,Petrol,100.0,52745.0
3523,V003524,Light Truck,1,3500,Diesel,91.23,146476.0
3524,V003525,Light Truck,0,3500,Diesel,87.33,174831.0
3525,V003526,Light Truck,14,3500,Diesel,62.16,121627.0
3526,V003527,Medium Truck,12,8000,Diesel,71.33,211785.0
3527,V003528,Medium Truck,8,8000,Diesel,93.68,417379.0
3528,V003529,Van,14,1000,Petrol,85.94,303427.0
3529,V003530,Light Truck,12,3500,Diesel,74.69,25485.0
3530,V003531,Light Truck,14,3500,Diesel,79.34,360271.0
3531,V003532,Van,2,1000,Petrol,84.8,154120.0
3532,V003533,Van,9,1000,Petrol,85.24,174821.0
3533,V003534,Van,9,1000,Petrol,74.1,231371.0
3534,V003535,Motorbike,5,50,Petrol,76.3,118708.0
3535,V003536,Heavy Truck,10,20000,Diesel,65.01,15478.0
3536,V003537,Van,2,1000,Petrol,93.67,325055.0
3537,V003538,Medium Truck,12,8000,Diesel,78.8,157670.0
3538,V003539,Light Truck,4,3500,Diesel,98.63,78020.0
3539,V003540,Light Truck,3,3500,Diesel,83.17,71157.0
3540,V003541,Van,11,1000,Petrol,83.83,274113.0
3541,V003542,Medium Truck,0,8000,Diesel,83.26,246575.0
3542,V003543,Medium Truck,9,8000,Diesel,63.56,84812.0
3543,V003544,Medium Truck,0,8000,Diesel,77.68,159600.0
3544,V003545,Heavy Truck,10,20000,Diesel,83.0,253049.0
3545,V003546,Medium Truck,2,8000,Diesel,66.02,266471.0
3546,V003547,Medium Truck,12,8000,Diesel,79.81,335194.0
3547,V003548,Van,10,1000,Petrol,83.14,342447.0
3548,V003549,Van,1,1000,Petrol,55.31,325731.0
3549,V003550,Motorbike,5,50,Petrol,91.55,109531.0
3550,V003551,Light Truck,9,3500,Diesel,94.7,285937.0
3551,V003552,Light Truck,10,3500,Diesel,78.51,92278.0
3552,V003553,Light Truck,14,3500,Diesel,83.68,174487.0
3553,V003554,Light Truck,14,3500,Diesel,84.54,143781.0
3554,V003555,Van,11,1000,Petrol,46.25,1000.0
3555,V003556,Light Truck,11,3500,Diesel,95.05,195825.0
3556,V003557,Medium Truck,9,8000,Diesel,59.45,169208.0
3557,V003558,Van,4,1000,Petrol,74.17,132651.0
3558,V003559,Light Truck,3,3500,Diesel,91.35,210142.0
3559,V003560,Van,6,1000,Petrol,63.45,237432.0
3560,V003561,Light Truck,2,3500,Diesel,73.2,227298.0
3561,V003562,Light Truck,3,3500,Diesel,94.95,154056.0
3562,V003563,Light Truck,1,3500,Diesel,84.37,174061.0
3563,V003564,Van,4,1000,Petrol,82.74,99124.0
3564,V003565,Van,14,1000,Petrol,79.66,154334.0
3565,V003566,Medium Truck,8,8000,Diesel,95.15,171224.0
3566,V003567,Van,12,1000,Petrol,91.77,442253.0
3567,V003568,Motorbike,11,50,Petrol,68.35,147457.0
3568,V003569,Light Truck,3,3500,Diesel,76.0,207921.0
3569,V003570,Heavy Truck,8,20000,Diesel,79.92,184274.0
3570,V003571,Light Truck,3,3500,Diesel,66.07,173744.0
3571,V003572,Van,6,1000,Petrol,75.99,160313.0
3572,V003573,Medium Truck,0,8000,Diesel,82.86,211046.0
3573,V003574,Van,2,1000,Petrol,79.9,199506.0
3574,V003575,Motorbike,4,50,Petrol,94.7,133471.0
3575,V003576,Heavy Truck,14,20000,Diesel,71.33,237366.0
3576,V003577,Medium Truck,5,8000,Diesel,83.84,226454.0
3577,V003578,Medium Truck,4,8000,Diesel,59.08,335934.0
3578,V003579,Light Truck,7,3500,Diesel,100.0,279488.0
3579,V003580,Medium Truck,13,8000,Diesel,75.4,93911.0
3580,V003581,Van,13,1000,Petrol,74.52,232098.0
3581,V003582,Medium Truck,0,8000,Diesel,100.0,185688.0
3582,V003583,Van,14,1000,Petrol,82.16,115438.0
3583,V003584,Medium Truck,5,8000,Diesel,100.0,80592.0
3584,V003585,Medium Truck,3,8000,Diesel,71.58,177517.0
3585,V003586,Van,5,1000,Petrol,71.0,175491.0
3586,V003587,Light Truck,14,3500,Diesel,74.2,347565.0
3587,V003588,Light Truck,1,3500,Diesel,73.23,175659.0
3588,V003589,Medium Truck,4,8000,Diesel,96.13,145845.0
3589,V003590,Van,10,1000,Petrol,68.63,205041.0
3590,V003591,Van,5,1000,Petrol,82.67,182275.0
3591,V003592,Medium Truck,4,8000,Diesel,58.01,215029.0
3592,V003593,Motorbike,1,50,Petrol,63.42,103761.0
3593,V003594,Light Truck,13,3500,Diesel,98.06,158821.0
3594,V003595,Motorbike,11,50,Petrol,81.32,167289.0
3595,V003596,Light Truck,2,3500,Diesel,88.62,109254.0
3596,V003597,Medium Truck,9,8000,Diesel,96.71,109714.0
3597,V003598,Medium Truck,3,8000,Diesel,74.32,244471.0
3598,V003599,Medium Truck,6,8000,Diesel,92.49,128362.0
3599,V003600,Van,3,1000,Petrol,93.65,83130.0
3600,V003601,Van,8,1000,Petrol,82.53,222237.0
3601,V003602,Van,1,1000,Petrol,77.1,203284.0
3602,V003603,Light Truck,8,3500,Diesel,56.41,210041.0
3603,V003604,Light Truck,0,3500,Diesel,82.58,282751.0
3604,V003605,Heavy Truck,6,20000,Diesel,85.45,157205.0
3605,V003606,Light Truck,1,3500,Diesel,97.69,44509.0
3606,V003607,Light Truck,0,3500,Diesel,78.13,103250.0
3607,V003608,Van,1,1000,Petrol,96.0,330367.0
3608,V003609,Light Truck,3,3500,Diesel,73.2,112230.0
3609,V003610,Van,14,1000,Petrol,75.08,221736.0
3610,V003611,Van,14,1000,Petrol,79.09,107190.0
3611,V003612,Heavy Truck,13,20000,Diesel,66.76,255731.0
3612,V003613,Motorbike,9,50,Petrol,79.71,282396.0
3613,V003614,Medium Truck,14,8000,Diesel,91.68,187319.0
3614,V003615,Light Truck,9,3500,Diesel,68.18,207234.0
3615,V003616,Heavy Truck,9,20000,Diesel,81.78,171101.0
3616,V003617,Light Truck,13,3500,Diesel,81.08,138190.0
3617,V003618,Medium Truck,1,8000,Diesel,73.32,26291.0
3618,V003619,Light Truck,12,3500,Diesel,73.7,174028.0
3619,V003620,Light Truck,3,3500,Diesel,64.05,286644.0
3620,V003621,Light Truck,9,3500,Diesel,70.53,118938.0
3621,V003622,Light Truck,13,3500,Diesel,82.19,277034.0
3622,V003623,Light Truck,6,3500,Diesel,100.0,62969.0
3623,V003624,Van,14,1000,Petrol,87.96,280581.0
3624,V003625,Van,7,1000,Petrol,82.08,27171.0
3625,V003626,Medium Truck,5,8000,Diesel,87.77,297675.0
3626,V003627,Light Truck,8,3500,Diesel,80.02,238467.0
3627,V003628,Medium Truck,14,8000,Diesel,81.64,87529.0
3628,V003629,Heavy Truck,10,20000,Diesel,80.05,202328.0
3629,V003630,Van,7,1000,Petrol,100.0,88414.0
3630,V003631,Light Truck,1,3500,Diesel,100.0,204210.0
3631,V003632,Van,7,1000,Petrol,69.43,329494.0
3632,V003633,Light Truck,13,3500,Diesel,63.66,245483.0
3633,V003634,Van,8,1000,Petrol,79.73,360519.0
3634,V003635,Medium Truck,3,8000,Diesel,72.34,1000.0
3635,V003636,Light Truck,14,3500,Diesel,64.75,249054.0
3636,V003637,Light Truck,8,3500,Diesel,80.43,129150.0
3637,V003638,Motorbike,11,50,Petrol,95.91,219489.0
3638,V003639,Van,5,1000,Petrol,70.44,357240.0
3639,V003640,Heavy Truck,9,20000,Diesel,86.45,194836.0
3640,V003641,Van,6,1000,Petrol,78.85,102397.0
3641,V003642,Van,9,1000,Petrol,87.56,79984.0
3642,V003643,Heavy Truck,14,20000,Diesel,87.65,264093.0
3643,V003644,Light Truck,10,3500,Diesel,78.41,166600.0
3644,V003645,Heavy Truck,5,20000,Diesel,98.85,225417.0
3645,V003646,Van,8,1000,Petrol,97.87,226019.0
3646,V003647,Medium Truck,10,8000,Diesel,75.12,205061.0
3647,V003648,Medium Truck,11,8000,Diesel,90.59,134597.0
3648,V003649,Light Truck,2,3500,Diesel,61.89,149977.0
3649,V003650,Light Truck,2,3500,Diesel,84.61,166859.0
3650,V003651,Van,9,1000,Petrol,89.41,206132.0
3651,V003652,Heavy Truck,2,20000,Diesel,96.13,247339.0
3652,V003653,Heavy Truck,12,20000,Diesel,99.32,201498.0
3653,V003654,Light Truck,7,3500,Diesel,76.22,174791.0
3654,V003655,Light Truck,13,3500,Diesel,73.34,233888.0
3655,V003656,Light Truck,8,3500,Diesel,100.0,73217.0
3656,V003657,Light Truck,11,3500,Diesel,77.67,241190.0
3657,V003658,Medium Truck,8,8000,Diesel,88.27,95760.0
